OverTime,JobLevel,TotalWorkingYears,Age,YearsInCurrentRole,MonthlyIncome,MaritalStatus,YearsAtCompany,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,C0,C1,Attrition
0,4,32,50,4,0.8642691415313225,0,5,3,4,4,20.248685001999064,-4.208532697082315,0
0,2,7,36,2,0.20734022358152288,0,3,3,2,2,-6.380062945650273,-3.6885471306358824,0
0,1,1,21,0,0.08806159038177601,2,1,3,2,2,-21.511025493773648,1.7408567247603006,1
0,3,18,52,6,0.4975743514026577,2,8,3,2,2,13.824170311031594,-5.843329861157262,0
1,3,15,33,6,0.6644695211980595,1,7,3,3,2,-1.4364956822437662,4.144487027175302,1
1,3,28,47,11,0.4916684243830416,0,22,2,2,3,21.810155531768487,10.66959019205444,0
0,2,4,22,2,0.1985867960345919,1,2,2,4,4,-18.21515871039979,3.3134445807577038,0
1,2,7,33,5,0.22985657034380935,0,6,3,4,3,-7.066299284066698,1.2614203554252157,0
0,3,15,40,11,0.5191942628137524,3,12,2,4,3,5.65564705360984,5.224026022633899,0
0,2,8,27,2,0.21419531744357734,2,6,1,4,4,-11.01828741266943,3.906612693499312,0
0,1,8,40,0,0.07366589327146171,1,1,3,4,1,-3.9873600392442157,-7.979873769570588,0
0,3,23,55,2,0.5255747732545877,1,3,3,2,4,16.937296781426774,-11.374143012740394,0
1,1,5,33,2,0.06876186458553048,2,2,2,2,1,-10.110873401530185,-3.0642593258765416,1
0,3,17,37,1,0.5062223159670955,1,14,2,3,1,3.947506450776551,4.977715226620678,1
0,5,26,46,4,0.9375659143640582,1,11,2,2,4,15.5662928245684,0.8574324701613865,0
0,2,10,38,8,0.47010124446319346,1,9,3,2,3,-0.3462091847505775,2.0942582793916884,0
0,2,10,30,2,0.19078253533009915,1,9,2,4,1,-6.758581462932902,4.581560225519601,0
0,2,15,36,12,0.23186036701117907,0,15,1,4,4,3.913578173907659,9.974353615227136,0
0,5,21,40,8,0.9926175912254798,2,21,3,2,2,11.917782483910095,11.510403541973645,0
0,4,22,53,13,0.7299620333263025,0,17,3,3,3,20.962549867802316,3.208932045128263,0
0,2,10,32,5,0.2352351824509597,0,9,3,2,4,-4.926814989607209,4.521644864426952,0
1,2,4,55,2,0.15956549251212826,1,3,3,3,4,4.734040380199282,-15.687726305802475,0
0,2,11,30,4,0.2679814385150812,2,5,1,4,3,-7.038418189535282,2.8959078210490237,0
1,1,1,23,0,0.031217042817970886,1,0,4,1,3,-20.44349877245227,-0.12466655641157942,1
0,2,10,51,0,0.2701434296561907,1,1,2,3,2,4.909115875338415,-14.045381997442544,0
1,2,8,42,3,0.26645222526893064,1,4,2,4,4,-1.1746705802814503,-5.979624104377596,0
1,1,1,20,0,0.0,2,1,3,3,4,-22.204200761499152,2.33795635361213,1
1,1,6,29,4,0.06111579835477747,1,5,1,4,2,-10.984812952941208,2.3356932254751914,0
0,4,25,43,10,0.702752583843071,0,25,2,2,1,17.990384014937135,14.041028043420718,0
1,2,16,40,1,0.17997257962455177,1,1,2,4,3,1.3380977292681138,-5.754168900450065,0
0,1,10,29,8,0.11189622442522675,1,10,3,4,2,-6.291447772235085,8.096117687012256,0
1,1,6,44,3,0.07029107783168108,0,5,3,2,3,-0.8510304666864883,-7.003436287485304,1
0,4,26,47,17,0.8521408985446108,1,20,3,3,1,20.927744085610748,11.219473656972943,0
0,2,10,32,8,0.22674541236026158,1,10,3,4,1,-4.157451640700685,6.350470889072598,0
0,1,8,38,0,0.08489770090698166,2,0,3,1,3,-5.675709812664564,-7.483807648581685,0
1,2,12,58,3,0.2452541657878085,0,5,1,3,4,12.666459193755628,-13.93686192271879,0
1,3,10,45,1,0.441415313225058,1,3,3,4,2,1.6270173265595247,-8.710917103754458,0
0,4,30,56,7,0.5322716726429023,1,10,3,4,3,25.065830434705383,-3.7516440163503333,0
0,2,6,37,3,0.44906137945581104,0,6,1,4,3,-5.262351781486718,-2.1015823687600417,0
0,3,9,39,7,0.36231807635519936,2,8,4,3,1,-0.6862036024962492,0.2586405641328149,0
0,3,13,54,4,0.5102826407930816,1,9,2,3,3,12.005720313351162,-8.244228526318171,0
0,1,10,32,7,0.15903817759966254,2,8,3,3,4,-5.004422302388466,4.5739981716616,0
0,3,15,48,0,0.6061484918793504,1,0,3,3,1,5.815652479334858,-11.761801918841815,0
1,2,6,33,5,0.23618434929339804,1,6,4,2,3,-7.710401651462487,1.0137444115002676,0
1,2,12,31,7,0.27225268930605356,1,7,1,3,2,-4.647638855813362,5.012360736516252,1
0,3,24,46,13,0.4979962033326303,0,24,3,1,2,19.49134534749441,12.456241967944885,0
